JeremySkinner|55.378051|-3.435973
StefanBilliet|51.053468|3.73038
Tigraine|47.516231|14.550072
cjberg|60.128161|18.643501
gimmi|44.6488366|10.9200867
mattleibow|-33.9248685|18.4240553
olcayseker|38.963745|35.243322
richardlawley|51.522414|-0.7219
thecodejunkie|56.0464674|12.6945121
xpaulbettsx|37.7749295|-122.4194155
ziaxdk|56.26392|9.501785
JeremySkinner|55.378051|-3.435973
StefanBilliet|51.053468|3.73038
Tigraine|47.516231|14.550072
cjberg|60.128161|18.643501
gimmi|44.6488366|10.9200867
mattleibow|-33.9248685|18.4240553
olcayseker|38.963745|35.243322
richardlawley|51.522414|-0.7219
thecodejunkie|56.0464674|12.6945121
xpaulbettsx|37.7749295|-122.4194155
ziaxdk|56.26392|9.501785
JeremySkinner|55.378051|-3.435973
StefanBilliet|51.053468|3.73038
Tigraine|47.516231|14.550072
cjberg|60.128161|18.643501
gimmi|44.6488366|10.9200867
mattleibow|-33.9248685|18.4240553
olcayseker|38.963745|35.243322
richardlawley|51.522414|-0.7219
thecodejunkie|56.0464674|12.6945121
xpaulbettsx|37.7749295|-122.4194155
ziaxdk|56.26392|9.501785
jeremyskinner|55.378051|-3.435973
stefanbilliet|51.053468|3.73038
tigraine|47.516231|14.550072
1st|46.484583|30.7326
adrianholovaty|41.8781136|-87.6297982
aisipos|34.0522342|-118.2436849
akaariai|60.2054911|24.6559001
alasdairnicol|51.23622|-0.570409
alex|37.7749295|-122.4194155
aljosa|45.8130293|15.9778949
almostabc|40.7143528|-74.0059731
ambv|52.406374|16.9251681
andersk|42.3736158|-71.1097335
andrewgodwin|55.378051|-3.435973
andrewjesaitis|45.6834599|-111.050499
andrewsg|47.6062095|-122.3320708
andrewsmedina|-22.9035393|-43.2095869
asparagui|38.5767017|-92.1735164
audreyr|34.0522342|-118.2436849
aviraldg|20.593684|78.96288
bak1an|47.8388|35.139567
bbenko|45.1|15.2
beachmachine|46.62794|14.30899
benkonrath|52.3702157|4.8951679
bfirsh|51.5112139|-0.1198244
bkg|37.7749295|-122.4194155
blongden|53.381129|-1.470085
bmihelac|46.0564509|14.5080702
bmispelon|47.497912|19.040235
boobsd|48.579654|24.0168036
brad|44.0520691|-123.0867536
brosner|39.737567|-104.9847179
brutasse|46.5199617|6.6335971
bryanveloso|34.0522342|-118.2436849
carljm|44.0805434|-103.2310149
carmi|43.8041334|-120.5542012
catalanojuan|-34.6037232|-58.3815931
chrislawlor|41.6089826|-73.6817957
chsigi|48.2081743|16.3738189
cobalys|-32.522779|-55.765835
collinanderson|41.6763545|-86.2519898
cyberj|44.203142|0.616363
datajockey|40.7143528|-74.0059731
davidfischer|32.7153292|-117.1572551
dbrgn|46.818188|8.227512
dcramer|37.7749295|-122.4194155
dekkers|52.0115769|4.3570677
denibertovic|45.8130293|15.9778949
dgerzo|48.1458923|17.1071373
dhepper|50.937531|6.9602786
dlo|30.267153|-97.7430608
dmedvinsky|61.52401|105.318756
dmishe|47.610377|-122.2006786
dokterbob|52.3702157|4.8951679
dominicrodger|51.5112139|-0.1198244
donspaulding|40.5142026|-88.9906312
dracos|55.378051|-3.435973
drmeers|-25.274398|133.775136
dstufft|39.952335|-75.163789
duilio|41.87194|12.56738
